515 3
603986.807523 2330346.516940 1.397631
603412.095138 2329978.678640 11.811777
603698.064897 2330148.104200 12.259098
604047.749861 2329918.612850 -0.245739
603127.730570 2329780.647290 12.062710
603551.911551 2329614.677000 -3.870810
604045.380813 2329421.596150 8.633760
604045.367430 2328904.662880 7.632395
604046.008943 2328411.467750 7.655026
603032.363741 2329413.884750 12.283236
603340.937034 2329258.769520 -2.809713
603603.362781 2328509.699930 5.278002
603589.995964 2328823.380010 4.785448
603966.419559 2327995.956810 12.392633
603349.522517 2328298.387900 -3.660038
603790.842418 2328244.407020 7.867666
603266.171287 2328924.161950 -6.327508
602903.364451 2329049.638000 12.662468
603193.868077 2328600.575160 -4.108014
603686.766695 2327775.457730 12.487379
603125.508662 2328111.905200 1.651093
603402.611537 2327945.795210 -4.080190
603114.859283 2325959.343930 12.660180
603269.414737 2326293.467440 12.811477
602822.737269 2325773.553800 11.973807
602814.023168 2328684.870510 11.757832
602855.281464 2328273.893560 7.416708
603536.135895 2327446.634040 12.039105
603338.027032 2326684.549740 12.508217
603440.075699 2327072.343850 12.078767
602913.625896 2327859.024640 8.791298
603156.315068 2327602.019930 -4.615880
602869.166796 2326528.381260 7.256309
602704.923669 2326109.763110 8.189206
602360.547199 2325797.108050 12.659594
602591.743999 2328431.871740 11.865925
602622.804817 2328051.683190 7.416708
603150.932801 2327278.620290 -2.804871
603022.540074 2326919.294580 -6.376810
602684.231646 2327699.889640 8.670138
602870.997247 2327478.328170 8.580790
601884.303333 2325827.131670 12.634698
602480.601067 2326719.576840 -5.511118
602235.253491 2326248.862010 8.085179
602344.769209 2328235.871860 12.848315
602429.044028 2327899.548870 9.350010
602352.183249 2327021.171720 -4.832635
602707.053157 2327154.039420 8.248093
602443.364914 2327532.795970 8.901945
601865.349475 2326258.588800 7.332404
601446.387895 2325723.047150 12.631444
601511.587652 2326188.296240 7.603057
601847.085681 2326674.337650 8.029963
602080.943077 2328041.958090 12.773804
602003.775597 2327083.469600 -4.476784
602119.802847 2327682.272470 9.382959
601703.532063 2327154.428960 4.745420
602228.047748 2327312.709470 9.182114
601490.924662 2326528.208070 7.606694
600992.699190 2325849.313760 12.728798
601157.825829 2326118.003690 7.922605
601470.261673 2326868.119900 8.583423
601796.240794 2327831.748980 13.110762
601412.377418 2327223.240270 8.106173
601812.572924 2327459.971410 3.781821
600948.931360 2326660.701440 6.737857
600804.425032 2326259.500730 12.050954
601093.437690 2327061.902160 7.790003
601388.916428 2327882.255620 12.972450
601241.140483 2327471.977340 8.995290
600652.084270 2326784.627050 7.894844
600406.473560 2326418.750870 12.701497
600901.964670 2327503.419310 9.215605
600687.216592 2327221.281160 7.722953
601111.891691 2328263.459060 10.898004
600826.243967 2327831.541060 -5.328645
600798.238145 2328627.309030 11.782563
600461.355591 2328892.080070 13.026718
600336.366687 2326890.793950 8.215199
599985.516783 2326560.306760 12.869536
600562.788880 2327534.861300 5.235801
600238.894011 2327341.035840 2.845663
600172.851313 2328696.092360 12.042728
600584.687501 2328271.626560 8.599256
600438.361169 2327848.441460 -4.925675
600267.238816 2328426.962620 11.254675
598885.542991 2326312.351930 12.190604
599893.192403 2327017.494330 8.475732
599149.479143 2326558.582860 12.778197
599547.643238 2326632.065600 12.689712
600116.054844 2327649.472380 -2.238278
599804.420284 2327457.091280 -3.550048
599912.951510 2328495.543760 12.484659
600140.728668 2328070.658680 7.943028
598517.633455 2326196.919010 11.377001
